UH_ID,UH_ID_4Digit,GLOSS_ID,Location,Country,Latitude,Longitude,Start,End,
57,0057,108,Honolulu,United States,21.3,-157.86,01/01/05,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0057.csv
14,0014,107,French Frigate Shoals Tern Is,United States,23.783,-166.217,05/26/07,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0014.csv
50,0050,106,Midway Is. (Sand Is.),United States,28.217,-177.367,02/08/47,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0050.csv
51,0051,105,Wake Is.,United States,19.283,166.617,05/30/50,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0051.csv
49,0049,104,Minami-Tori-Shima (Minamitoris),Japan,24.3,153.97,01/01/97,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0049.csv
47,0047,103,Chichijima,Japan,27.08,142.18,03/31/75,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0047.csv
41,0041,102,Unalaska (Dutch Harbor),United States,53.883,-166.533,01/01/82,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0041.csv
71,0071,101,Wellington Harbour,New Zealand,-41.283,174.783,11/18/44,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0071.csv
574,0574,100,Sand Point,United States,55.337,-160.502,01/01/73,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0574.csv
155,0155,96,Dzaoudzi (Mayotte),France,-12.783,45.25,05/11/08,03/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0155.csv
127,0127,95,Syowa,Japan,-69.01,39.58,01/31/87,12/31/13,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0127.csv
350,0350,89,Kushiro,Japan,42.97,144.383,01/01/63,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0350.csv
364,0364,88,Hakodate,Japan,41.783,140.733,06/30/64,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0364.csv
351,0351,87,Ofunato,Japan,39.02,141.75,01/01/65,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0351.csv
352,0352,86,Mera,Japan,34.917,139.833,01/01/65,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0352.csv
353,0353,85,Kushimoto,Japan,33.13,135.78,01/01/61,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0353.csv
362,0362,83,Nagasaki,Japan,32.733,129.867,01/01/85,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0362.csv
354,0354,82,Aburatsu,Japan,31.567,131.417,01/01/61,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0354.csv
355,0355,81,Naha,Japan,26.22,127.67,07/31/66,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0355.csv
329,0329,77,Quarry Bay (Hong Kong),China,22.6,114.22,01/01/86,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0329.csv
184,0184,76,Port Elizabeth,South Africa,-33.967,25.633,03/01/73,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0184.csv
381,0381,75,Qui Nhon,Viet Nam,13.775,109.254,10/19/07,04/22/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0381.csv
595,0595,74,Nome AK (Norton Sound),United States,64.5,-165.43,10/01/92,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0595.csv
370,0370,73,Manila,Philippines,14.64,121.08,03/31/06,05/31/15,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0370.csv
371,0371,72,Legaspi (Albay),Philippines,13.161,123.758,01/01/84,03/28/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0371.csv
372,0372,71,Davao,Philippines,7.833,125.633,01/01/98,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0372.csv
33,0033,69,Manado (Bitung),Indonesia,1.43,125.2,09/02/08,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0033.csv
133,0133,68,Ambon,Indonesia,-3.683,128.183,10/01/08,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0133.csv
9,0009,66,Honiara,Solomon Islands,-9.433,159.95,07/28/94,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0009.csv
